Unique ID;Player;Best Position;Age;Division;Salary;Transfer Value;Preferred Foot;Height;Starts;Minutes;Rating;Goals;xG-OP;xG;NP-xG/90;Penalties Taken;Penalties Scored;xG/shot;Free Kick Shots;Shots From Outside The Box Per 90 minutes;Goals From Outside The Box;Shots;Shots on Target;Headers Attempted;Headers Won;Key Headers per 90;Crosses Attempted;Crosses Completed;Open Play Crosses Attempted;Open Play Crosses Completed;Mistakes Leading to Goals;Distance;Sprints/90;Dribbles;Fouls Against;Off;Assists;xA;Chances Created per 90;Clear Cut Chances Created;Key Passes;Open Play Key Passes per 90;Passes Attempted;Passes Completed;PsP;Possession Lost per 90;Blk;Clearances;Interceptions;Key Tackles;Possession Won per 90;Pres A;Pres C;Shts Blckd;Tackled Completed;Tackles Attempted;Fouls Made;Yellow Cards;Red cards
19366623;Luiz Mandaca;DM, M (C);24;Brasileirão;R$145K p/m;R$2.4M - R$24M;Right-Footed;1.78 m;25;2070;6.92;2;1.11;0.89;0.0;0;0;0.0988888888888889;0;0.2;0;9;2;37;18;0.0;4;2;4;2;0;267.6km;12.0;3;10;1;2;1.9;0.0;1;12;0.5;1194;1091;84;5.9;15;22;55;3;12.8;131;35;6;30;34;20;7;0
19340984;Luiz Otávio;DM;29;Brasileirão Série B;R$23K p/m;R$0 - R$100K;Right-Footed Only;1.74 m;8;1038;6.61;1;0.28;0.72;0.1;0;0;0.102857142857143;0;0.3;0;7;2;21;13;0.1;0;0;0;0;0;125.8km;11.3;0;5;0;1;1.63;0.4;5;3;0.3;579;500;40;5.4;11;9;25;0;13.0;74;18;2;13;15;8;0;0
19290854;Luizão;DM;28;Brasileirão;R$90K p/m;R$300K - R$3.25M;Right-Footed Only;1.84 m;21;1955;6.85;0;-2.36;2.36;0.1;0;0;0.107272727272727;0;0.3;1;22;1;44;12;0.1;3;1;3;1;0;241.0km;10.9;10;18;1;8;5.9;0.5;10;18;0.8;1137;1046;98;6.7;7;15;47;0;13.8;113;32;3;19;27;16;3;0
2000056826;Luka Lukanić;DM;22;1. SNL;R$23K p/m;R$1.2M - R$12M;Left-Footed;1.81 m;11;1541;6.77;0;-1.01;1.01;0.1;0;0;0.0918181818181818;0;0.2;0;11;1;27;13;0.1;64;9;4;0;0;204.3km;10.9;4;8;0;5;3.47;0.4;6;20;0.9;871;810;97;6.5;8;10;44;0;13.6;101;21;0;16;21;5;1;0
2000452767;Lukas Graff;DM;21;Clubes Sem Divisão Nacional/Fora da Série D;R$13K p/m;R$ 0;Right-Footed;1.84 m;19;1703;7.12;1;0.52;0.48;0.0;0;0;0.0685714285714286;0;0.2;0;7;2;13;8;0.0;0;0;0;0;0;63.7km;2.7;0;8;0;3;2.92;0.2;4;10;0.3;538;425;34;2.1;5;8;14;0;4.9;22;5;1;32;38;15;0;0
17033872;Timofey Lukashevich;DM;29;-;R$3.5K p/m;R$0 - R$80K;Right-Footed;1.85 m;14;1260;6.81;3;2.48;0.52;0.0;0;0;0.13;0;0.0;0;4;2;0;0;0.0;0;0;0;0;0;0.0km;0.0;0;7;0;2;0;0.0;0;0;0.0;280;189;0;0.0;0;0;0;0;0.0;0;0;0;30;40;20;3;2
62124117;Saša Lukić;DM, M (C);29;Premier League;R$2.56M p/m;R$240M - R$300M;Right-Footed;1.82 m;29;2500;6.86;0;-2.52;2.52;0.1;0;0;0.14;0;0.2;0;18;5;39;17;0.1;139;19;3;0;0;335.3km;13.3;6;16;0;1;1.64;0.1;3;18;0.6;1616;1453;108;7.7;12;19;80;4;11.3;130;42;3;35;50;24;7;0
58159197;Alexandr Lukjanov;DM;24;2-FNL A Silver;R$13K p/m;R$60K - R$200K;Right-Footed;1.78 m;20;1465;6.40;2;0.65;1.35;0.1;0;0;0.075;0;0.4;0;18;5;44;20;0.1;2;1;2;1;0;96.0km;2.4;0;4;0;0;1.43;0.2;3;1;0.1;442;385;24;10.1;7;10;25;0;7.9;28;11;1;10;11;5;4;0
2000116803;Kévin Lukoki;DM;21;Promotion d'Honneur;N/A;R$ 0;Right-Footed;1.79 m;39;3510;7.36;0;-0.88;0.88;0.0;0;0;0.22;0;0.0;0;4;0;0;0;0.0;0;0;0;0;0;0.0km;0.0;0;24;0;3;3.31;0.0;0;0;0.0;780;553;0;0.0;0;0;0;0;0.0;0;0;0;67;68;49;0;0
62248902;Ognjen Luković;DM;24;1st National - ACFF;R$4.2K p/m;R$0 - R$25K;Right-Footed;1.84 m;36;2662;7.11;3;0.75;2.25;0.1;0;0;0.118421052631579;0;0.1;0;19;8;78;39;0.2;3;1;3;1;0;269.0km;7.6;7;24;1;12;6.97;0.3;9;29;1.0;1386;1208;125;5.2;14;30;71;4;13.7;104;37;1;29;37;8;0;0
